Aligned_X,Aligned_Y,Index_X,Index_Y
-0.1808904493706798,-0.1808028379484381,0,0
-0.1808904493706798,-0.1808034191662236,0,1
-0.1808904493706798,-0.1808070612535731,0,2
-0.1808936386584139,-0.1808070612535731,1,2
-0.1808881263300556,-0.1808070612535731,2,2
-0.1808896016266964,-0.1808070612535731,3,2
-0.1808930535287498,-0.1808070612535731,4,2
-0.1808919125571494,-0.1808070612535731,5,2
-0.1808921819096064,-0.1808070612535731,6,2
-0.1808906917090833,-0.1808070612535731,7,2
-0.1808900957382874,-0.1808070612535731,8,2
-0.1808903042576254,-0.1808070612535731,9,2
-0.1808889181759785,-0.1808070612535731,10,2
-0.1808906309054414,-0.1808070612535731,11,2
-0.1808899663876827,-0.1808070612535731,12,2
-0.1808899651785107,-0.1808070612535731,13,2
-0.1808914320722676,-0.1808070612535731,14,2
-0.1808933328629275,-0.1808070612535731,15,2
-0.1808914682927684,-0.1808070612535731,16,2
-0.1808933736621999,-0.1808070612535731,17,2
-0.1808918724154992,-0.1808070612535731,18,2
-0.1808960919857017,-0.1808070612535731,19,2
-0.1808941310979356,-0.1808070612535731,20,2
-0.1808881850955495,-0.1808070612535731,21,2
-0.1808954863781673,-0.1808070612535731,22,2
-0.1808900608650412,-0.1808070612535731,23,2
-0.1808928151055746,-0.1808070612535731,24,2
-0.1808861166297959,-0.1808070612535731,25,2
-0.1808875032573859,-0.1808070612535731,26,2
-0.1808916928261227,-0.1808070612535731,27,2
-0.1808952361776289,-0.1808070612535731,28,2
-0.1808952361776289,-0.1808070612535731,29,2
-0.1808890198247632,-0.1808070612535731,30,2
-0.1808904769757481,-0.1808070612535731,31,2
-0.1808927129865832,-0.1808070612535731,32,2
-0.1808916175196841,-0.1808070612535731,33,2
-0.1808901607072415,-0.1808070612535731,34,2
-0.1808951856169038,-0.1808070612535731,35,2
-0.1808899677529392,-0.1808070612535731,36,2
-0.1808972577659012,-0.1808070612535731,37,2
-0.1808905808315417,-0.1808070612535731,38,2
-0.1808904330384199,-0.1808070612535731,39,2
-0.1808918551180929,-0.1808070612535731,40,2
-0.1808896054130143,-0.1808070612535731,41,2
-0.1808893920842679,-0.1808070612535731,42,2
-0.180889639253753,-0.1808070612535731,43,2
-0.1808933979732169,-0.1808070612535731,44,2
-0.1808873561760811,-0.1808070612535731,45,2
-0.1808936465480928,-0.1808070612535731,46,2
-0.1808922067598459,-0.1808070612535731,47,2
-0.1808922992614411,-0.1808070612535731,48,2
-0.1808950780713473,-0.1808070612535731,49,2
-0.1808908098394538,-0.1808070612535731,50,2
-0.1808923020484653,-0.1808070612535731,51,2
-0.180890826235409,-0.1808070612535731,52,2
-0.180890826235409,-0.1808070612535731,53,2
-0.1808898037233309,-0.1808070612535731,54,2
-0.1808945547307183,-0.1808070612535731,55,2
-0.1808906600699719,-0.1808070612535731,56,2
-0.1808894646605109,-0.1808070612535731,57,2
-0.1808879140535288,-0.1808070612535731,58,2
-0.1808891722341888,-0.1808070612535731,59,2
-0.1808871104934485,-0.1808070612535731,60,2
-0.180890628693107,-0.1808070612535731,61,2
-0.1808891021038822,-0.1808070612535731,62,2
-0.1808914972392268,-0.1808070612535731,63,2
-0.1808915895547239,-0.1808070612535731,64,2
-0.1808899655796479,-0.1808070612535731,65,2
-0.1808900161300426,-0.1808070612535731,66,2
-0.1808902773741544,-0.1808070612535731,67,2
-0.1808907747938156,-0.1808070612535731,68,2
-0.1808945350339657,-0.1808070612535731,69,2
-0.1808917553297952,-0.1808070612535731,70,2
-0.1808918162410711,-0.1808070612535731,71,2
-0.1808975886452049,-0.1808070612535731,72,2
-0.180891820840494,-0.1808070612535731,73,2
-0.180892785356301,-0.1808070612535731,74,2
-0.1808881079503911,-0.1808070612535731,75,2
-0.1808904795349914,-0.1808070612535731,76,2
-0.1808932030729713,-0.1808070612535731,77,2
-0.1808951414133466,-0.1808070612535731,78,2
-0.1808935744043945,-0.1808070612535731,79,2
-0.180890149114415,-0.1808070612535731,80,2
